pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.06-5
perl-http-message 7.02-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
pinentry 1.3.2-2
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-audio 1:1.6.6-1
pipewire-jack 1:1.6.6-1
pipewire-pulse 1:1.6.6-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.5-1
playerctl 2.4.1-5
plotutils 2.6-12
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.6.5-1
polkit-qt6 0.201.1-1
poppler 26.06.0-1
poppler-data 0.4.12-2
poppler-glib 26.06.0-1
poppler-qt6 26.06.0-1
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.6-2
protobuf 35.0-2
psmisc 23.7-2
ptex 2.5.2-1
pugixml 1.15-3
pybind11 3.0.4-1
pycharm-community-edition 2026.1.2-1
pyrefly 1.0.0-1
pyside6 6.11.1-1
pystring 1.2.0-1
python 3.14.5-1
python-acme 5.6.0-1
python-annotated-types 0.7.0-3
python-argcomplete 3.6.3-1
python-ast-serialize 0.3.0-2
python-astroid 4.2.0-1
python-asttokens 3.0.1-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-babel 2.17.0-3
python-bcrypt 5.0.0-2
python-beautifulsoup4 4.15.0-1
python-bitarray 3.8.1-1
python-bitstring 4.4.0-1
python-brotli 1.2.0-1
python-build 1.4.3-1
python-cachetools 7.1.4-1
python-cairo 1.29.0-2
python-certifi 2026.05.20-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-colorama 0.4.6-6
python-colorthief 0.2.1-5
python-configargparse 1.7.5-1
